t, y_Dart, z_Dart, y_Board, z_Board, vy_Dart, vz_Dart, vy_Board, vz_Board, ay_Dart, az_Dart, ay_Board, az_Board
0,2,3,2,0,0,-6,0,0,-9.81,0,-9.81,0
0.01999999,1.996076,2.88,1.996076,0,-0.1961999,-6,-0.1961999,0,-9.81,0,-9.81,0
0.03999998,1.988228,2.76,1.988228,0,-0.3923998,-6,-0.3923998,0,-9.81,0,-9.81,0
0.05999998,1.976456,2.64,1.976456,0,-0.5885998,-6,-0.5885998,0,-9.81,0,-9.81,0
0.07999997,1.96076,2.52,1.96076,0,-0.7847997,-6,-0.7847997,0,-9.81,0,-9.81,0
0.09999996,1.94114,2.400001,1.94114,0,-0.9809996,-6,-0.9809996,0,-9.81,0,-9.81,0
0.12,1.917596,2.280001,1.917596,0,-1.177199,-6,-1.177199,0,-9.81,0,-9.81,0
0.14,1.890128,2.160001,1.890128,0,-1.373399,-6,-1.373399,0,-9.81,0,-9.81,0
0.16,1.858736,2.040001,1.858736,0,-1.569599,-6,-1.569599,0,-9.81,0,-9.81,0
0.1799999,1.82342,1.920001,1.82342,0,-1.765799,-6,-1.765799,0,-9.81,0,-9.81,0
0.1999999,1.78418,1.800001,1.78418,0,-1.961999,-6,-1.961999,0,-9.81,0,-9.81,0
0.2199999,1.741016,1.680001,1.741016,0,-2.158199,-6,-2.158199,0,-9.81,0,-9.81,0
0.2399999,1.693928,1.560001,1.693928,0,-2.354399,-6,-2.354399,0,-9.81,0,-9.81,0
0.2599999,1.642916,1.440001,1.642916,0,-2.550599,-6,-2.550599,0,-9.81,0,-9.81,0
0.2799999,1.58798,1.320001,1.58798,0,-2.746799,-6,-2.746799,0,-9.81,0,-9.81,0
0.2999999,1.52912,1.200001,1.52912,0,-2.942999,-6,-2.942999,0,-9.81,0,-9.81,0
0.3199999,1.466336,1.080001,1.466336,0,-3.139199,-6,-3.139199,0,-9.81,0,-9.81,0
0.3399999,1.399629,0.9600009,1.399629,0,-3.335398,-6,-3.335398,0,-9.81,0,-9.81,0
0.3599998,1.328997,0.8400009,1.328997,0,-3.531598,-6,-3.531598,0,-9.81,0,-9.81,0
0.3799998,1.254441,0.720001,1.254441,0,-3.727798,-6,-3.727798,0,-9.81,0,-9.81,0
0.3999998,1.175961,0.600001,1.175961,0,-3.923998,-6,-3.923998,0,-9.81,0,-9.81,0
0.4199998,1.093557,0.4800011,1.093557,0,-4.120198,-6,-4.120198,0,-9.81,0,-9.81,0
0.4399998,1.007229,0.3600011,1.007229,0,-4.316398,-6,-4.316398,0,-9.81,0,-9.81,0
0.4599997,0.9169769,0.2400012,0.9169769,0,-4.512598,-6,-4.512598,0,-9.81,0,-9.81,0
0.4799997,0.822801,0.1200012,0.822801,0,-4.708798,-6,-4.708798,0,-9.81,0,-9.81,0
